job_title,role_category,open_roles,top_locations,experience_level,work_mode,skills,job_links
Analytics Consultant,Data,1,UK,Senior,Remote,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5597136861?se=yGTuvsgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=A5D3DED9D58802AEEB5E5661E5998DAD9325898F""}]"
Analytics Director,Data,1,London,Senior,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5505185296?utm_medium=api&utm_source=026f28a2""}]"
Analytics Engineer,Data,31,"London, UK, Hyde Park",Mid,On-site,"['Azure', 'C++', 'Data Analysis', 'GCP', 'Power BI', 'Python', 'SQL', 'Tableau']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5576117150?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=B4E66F9E90106D535169C48F76EEAD0FC5906655""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5401791102?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5567965758?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5534701877?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5604771840?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5309773331?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=2D49A42B1FBE584752863C055DD3E7379184CBAA""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5579242154?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=71D0A7586C5CCC91107EEBDD3DB172AA675623FA""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5597288835?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=ABFA48B0BF4D5BFF6B48B558364FC27DC45216D3""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5580330255?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=80D3C25FC89BEE973BD7159F78D42A9A6FA9530A""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5597322664?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=B552F095DD2B58BD60C2C6490CA375B6D597B266""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5580683754?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=0F7BCD1DD5A6B1C0140BCE9A95089598C86BC917""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5606171591?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5568290395?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5572694188?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5603325058?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5587671371?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5611195920?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5611139187?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5611195041?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5569347641?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5397772540?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5575621621?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5550874539?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5609957625?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5606184079?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5600189976?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5575617166?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5608834936?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5606911687?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5601170243?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5573613451?utm_medium=api&utm_source=026f28a2""}]"
Analytics Engineer (7 Month Ftc),Data,1,Birmingham,Mid,Hybrid,"['Azure', 'Power BI']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5598597712?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=1215FE89E324FF95E3000EAE1A237B976E2C280D""}]"
Analytics Engineer/Senior Analytics Engineer,Data,1,London,Senior,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5574733749?utm_medium=api&utm_source=026f28a2""}]"
Analytics Manager,Data,6,"London, Tingley Common",Senior,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5371931321?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5585112866?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5547144796?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=AB391D417543042A77A58800020CFFB7B5532F87""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5604769709?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5604762200?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5606295515?utm_medium=api&utm_source=026f28a2""}]"
"Analytics Manager, Full Stack (Fraud Analytics)",Data,1,UK,Senior,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5517728726?utm_medium=api&utm_source=026f28a2""}]"
Apc Quantity Surveyor - Consultancy,Business,1,Liverpool,Mid,Hybrid,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5603214903?se=Gt8nyMgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=4921C20E975C77E615194F3E0CD93795D62B3660""}]"
Arboricultural Consultant,Business,2,"Chelmsford, Lyme Green",Mid,On-site,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5593839017?se=5oxhycgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=EBAB92C5F364D4CEB7A67DFB56EBDFEB56DABF8E""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5571211273?se=5oxhycgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=91B7822450BEC209BC26A637C3ED8D5D5002F165""}]"
Area Sales Manager,Healthcare,3,"The City, London, Manchester",Mid,On-site,['Clinical Knowledge'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5607969248?se=bhvh3cgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=CD66CD7488CF14EE2728BFE5B1E3E476455AB2DF""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5607946199?se=bhvh3cgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=A83A6203204AF8070C668A1228EFAC9517BB4764""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5607969530?se=jBIq38gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=36611D4A57954902D628DEC227D8DD46014A1423""}]"
Art And Design Teacher,Design,4,"Penenden Heath, Milton Regis, Paddlesworth",Mid,On-site,"['UI', 'UX']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5601863935?se=DA2Q4MgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=DB3239500DA99853F84C53398C77D8DF8F3D0C02""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5601863937?se=DA2Q4MgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=47F4678DD7F98B4AEE2AA17A29599BE2FD0D462E""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5601863936?se=DA2Q4MgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=571C330AA382B735772FC8D1344882CAF6D43BF7""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5601863939?se=DA2Q4MgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=14D79D4CC784BB933CAF3A09226E901DEBEEC219""}]"
Asbestos Consultant,Business,1,Ladywood,Mid,On-site,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5605929410?se=5oxhycgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=B04D09C5CC0322C717277AFB3DC3FAAC66AC3388""}]"
Assessment Nurse,Healthcare,6,"Southend-On-Sea, Chelmsford, Heathrow",Mid,Hybrid,['Clinical Knowledge'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606244904?se=zh-C2MgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=0A8ECEE44313B61D652B490EF8DAB400A57D84FC""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606244905?se=zh-C2MgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=930D1698FF7EDD03B550DB5FCF9453329DC70FD7""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606244900?se=zh-C2MgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=9B8A9EEDB6CDB92106AADE2367E18E9F1BF656D6""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606244901?se=zh-C2MgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=58AB08B5D7709996DD52E3093AF84733307AC37A""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606244897?se=zh-C2MgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=0B2D1B8D93853E48A500F47B58724B2E9697A3E6""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606244891?se=zh-C2MgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=D52FE2CE2C92A3ED84F3E89BC7F6BB90799DB1F3""}]"
Assistant Marketing Manager,Marketing,2,"Bourne End, Buckinghamshire",Mid,Hybrid,"['Campaigns', 'SEO']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5593582282?se=TEEuzsgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=C35DBFD127CC6700E54EC20C7148236987AC8545""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5607946862?se=TEEuzsgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=077D48CA39BD47ED32D0D5A653602B56E15E4C89""}]"
Assistant Operations Manager,Business,1,Balmaha,Mid,On-site,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5610070881?se=jkTCzMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=1BD704765D3B420DA2404ED0C4B0DFC773DF157C""}]"
